日付,TIF,移動元,移動先,回答数
2026-01-04,福井,丸岡城,一乗谷朝倉氏遺跡 エリア,1
2026-01-04,福井,丸岡城,丸岡城 エリア,1
2026-01-04,福井,丸岡城 エリア,丸岡城,1
2026-01-04,福井,大本山 永平寺 エリア,岡太神社・大瀧神社,1
2026-01-04,福井,大本山永平寺,大本山 永平寺 エリア,1
2026-01-04,福井,小松空港（石川県）,福井駅前 エリア,1
2026-01-04,福井,氣比神宮,越前そばの里 エリア,1
2026-01-04,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-04,福井,越前そばの里 エリア,大本山永平寺,1
2026-01-04,福井,金ヶ崎 エリア,氣比神宮,1
2026-01-04,福井,金沢駅周辺（石川県）,かつやま恐竜の森 エリア,1
2026-01-05,石川,ふれあい昆虫館,白山比咩神社,1
2026-01-05,石川,石川県立図書館,金沢城公園,1
2026-01-05,石川,金沢城,ガーデンホテル金沢,1
2026-01-05,福井,JR芦原温泉駅 エリア,丸岡城,1
2026-01-05,福井,JR芦原温泉駅 エリア,氣比神宮,2
2026-01-05,福井,あわら温泉街,JR芦原温泉駅 エリア,2
2026-01-05,福井,かつやま恐竜の森 エリア,越前がにミュージアム,1
2026-01-05,福井,はたや記念館 ゆめおーれ勝山,かつやま恐竜の森 エリア,1
2026-01-05,福井,めがねミュージアム,北陸新幹線 越前たけふ駅 エリア,2
2026-01-05,福井,メガネストリート エリア,氣比神宮,1
2026-01-05,福井,北の庄城址・柴田公園,ふくい鮮いちば エリア,1
2026-01-05,福井,北陸新幹線 越前たけふ駅 エリア,氣比神宮,2
2026-01-05,福井,大本山 永平寺 エリア,東尋坊,1
2026-01-05,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2026-01-05,福井,東尋坊,越前そばの里 エリア,1
2026-01-05,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-05,福井,福井県立恐竜博物館,はたや記念館 ゆめおーれ勝山 エリア,1
2026-01-05,福井,福井県立恐竜博物館,大本山 永平寺 エリア,1
2026-01-05,福井,福井駅前 エリア（宿泊施設）,大本山永平寺,1
2026-01-05,福井,越前そばの里 エリア,日本海さかな街,1
