日付,TIF,移動元,移動先,回答数
2025-01-01,石川,休暇村能登千里浜,気多大社,1
2025-01-01,石川,小松空港,帰宅,1
2025-01-01,福井,あわら温泉街,一乗谷朝倉氏遺跡 エリア,1
2025-01-01,福井,あわら温泉街,福井駅前 エリア,1
2025-01-01,福井,あわら温泉街,越前そばの里 エリア,1
2025-01-01,福井,あわら湯のまち エリア,あわら温泉街,1
2025-01-01,福井,あわら湯のまち エリア,丸岡城,1
2025-01-01,福井,あわら湯のまち エリア,福井県立恐竜博物館,1
2025-01-01,福井,あわら湯のまち エリア,福井駅,1
2025-01-01,福井,あわら湯のまち エリア,越前海岸,1
2025-01-01,福井,かつやま恐竜の森 エリア,金沢駅周辺（石川県）,1
2025-01-01,福井,一乗谷朝倉氏遺跡,あわら湯のまち エリア,1
2025-01-01,福井,一乗谷朝倉氏遺跡 エリア,福井駅,1
2025-01-01,福井,丸岡城,あわら湯のまち エリア,1
2025-01-01,福井,丸岡城,かつやま恐竜の森 エリア,1
2025-01-01,福井,丸岡城,丸岡城 エリア,1
2025-01-01,福井,丸岡城,大本山 永平寺 エリア,2
2025-01-01,福井,丸岡城,福井駅前 エリア,1
2025-01-01,福井,丸岡城,道の駅「禅の里」 エリア,1
2025-01-01,福井,丸岡城 エリア,大本山永平寺,1
2025-01-01,福井,北の庄城址・柴田公園,北ノ庄 エリア,1
2025-01-01,福井,北の庄城址・柴田公園,福井駅前 エリア,1
2025-01-01,福井,北ノ庄 エリア,養浩館庭園,1
2025-01-01,福井,大本山 永平寺 エリア,一乗谷朝倉氏遺跡,1
2025-01-01,福井,大本山 永平寺 エリア,東尋坊,2
2025-01-01,福井,大本山永平寺,あわら湯のまち エリア,1
2025-01-01,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2025-01-01,福井,大本山永平寺,大本山 永平寺 エリア,1
2025-01-01,福井,小浜市 阿納 エリア,若狭フィッシャーマンズワーフ,1
2025-01-01,福井,恐竜博物館,大本山 永平寺 エリア,1
2025-01-01,福井,明通寺 エリア,国分寺 (小浜市),1
2025-01-01,福井,明通寺 エリア,神宮寺,1
2025-01-01,福井,東尋坊,福井駅前 エリア,1
2025-01-01,福井,氣比神宮,あわら湯のまち エリア,2
2025-01-01,福井,氣比神宮,三国湊 エリア,2
2025-01-01,福井,氣比神宮,北ノ庄 エリア,1
2025-01-01,福井,氣比神宮,福井駅前 エリア（宿泊施設）,2
2025-01-01,福井,熊川宿,小浜市 阿納 エリア,1
2025-01-01,福井,神宮寺,明通寺 エリア,1
2025-01-01,福井,福井県立恐竜博物館,あわら湯のまち エリア,1
2025-01-01,福井,福井駅前 エリア,東尋坊,1
2025-01-01,福井,福井駅前 エリア,福井県立恐竜博物館,1
2025-01-01,福井,福井駅前 エリア,越前大仏,1
2025-01-01,福井,福井駅前 エリア（宿泊施設）,三國湊レトロ,2
2025-01-01,福井,福井駅前 エリア（宿泊施設）,福井県立恐竜博物館,1
2025-01-01,福井,自宅,道の駅「南えちぜん山海里」 エリア,1
2025-01-01,福井,越前大仏,道の駅「禅の里」 エリア,1
2025-01-02,石川,石浦神社,金沢城公園,1
2025-01-02,石川,金沢駅,長町武家屋敷休憩館,1
2025-01-02,福井,JR美浜駅 エリア,福井県海浜自然センター,1
