日付,TIF,移動元,移動先,回答数
2024-01-01,石川,のとじま水族館,和倉温泉,2
2024-01-01,石川,和倉温泉,のとじま水族館,1
2024-01-01,石川,金沢中央観光案内所,武家屋敷,1
2024-01-01,福井,あわら温泉「芦湯」,あわら湯のまち エリア,2
2024-01-01,福井,あわら湯のまち エリア,北の庄城址・柴田公園,1
2024-01-01,福井,あわら湯のまち エリア,福井県立恐竜博物館,1
2024-01-01,福井,スキージャム勝山 エリア,大本山永平寺,1
2024-01-01,福井,三国湊 エリア,福井県立恐竜博物館,1
2024-01-01,福井,丸岡城,スキージャム勝山 エリア,1
2024-01-01,福井,北の庄城址・柴田公園,三国湊 エリア,1
2024-01-01,福井,氣比神宮,JR敦賀駅前 エリア,1
2024-01-01,福井,氣比神宮,神楽通り エリア,1
2024-01-01,福井,福井駅前 エリア（宿泊施設）,丸岡城,1
2024-01-01,福井,越前大仏,福井駅前 エリア（宿泊施設）,1
2024-01-01,福井,道の駅「越前おおの荒島の郷」 エリア,丸岡城,1
2024-01-02,福井,あわら湯のまち エリア,あわら温泉街,1
2024-01-02,福井,スーベニアショップ ラプトル エリア,福井駅,1
2024-01-02,福井,一乗谷朝倉氏遺跡,スキージャム勝山 エリア,1
2024-01-02,福井,一乗谷朝倉氏遺跡,一乗谷朝倉氏遺跡 エリア,1
2024-01-02,福井,一乗谷朝倉氏遺跡,道の駅「三方五湖」  エリア,1
2024-01-02,福井,丸岡城,平泉寺白山神社 エリア,1
2024-01-02,福井,北の庄城址・柴田公園,スーベニアショップ ラプトル エリア,2
2024-01-02,福井,北陸新幹線 越前たけふ駅 エリア,丸岡城,1
2024-01-02,福井,吉崎御坊跡,あわら湯のまち エリア,1
2024-01-02,福井,小浜市 阿納 エリア,氣比神宮,1
2024-01-02,福井,平泉寺白山神社 エリア,大本山永平寺,1
2024-01-02,福井,気比の松原,神楽通り エリア,1
2024-01-02,福井,神楽通り エリア,敦賀赤レンガ倉庫,1
2024-01-02,福井,福井県立恐竜博物館,スーベニアショップ ラプトル エリア,2
2024-01-02,福井,越前大野城,北陸新幹線 越前たけふ駅 エリア,1
2024-01-02,福井,道の駅「三方五湖」  エリア,レインボーライン,1
2024-01-03,石川,いしかわ動物園,イオンモール新小松,1
2024-01-03,石川,近江町市場,小松空港,1
2024-01-03,福井,レインボーライン,小浜市 阿納 エリア,2
2024-01-03,福井,三方五湖,道の駅「南えちぜん山海里」 エリア,1
2024-01-03,福井,丸岡城,あわら湯のまち エリア,1
2024-01-03,福井,丸岡城,丸岡城 エリア,1
2024-01-03,福井,吉崎御坊跡,越前松島水族館 エリア,1
2024-01-03,福井,小浜市 阿納 エリア,福井県年縞博物館,1
2024-01-03,福井,明通寺,明通寺 エリア,1
2024-01-03,福井,福井県年縞博物館,若狭フィッシャーマンズワーフ エリア,2
2024-01-03,福井,福井県海浜自然センター,道の駅「三方五湖」  エリア,2
2024-01-03,福井,越前大仏 エリア,道の駅「恐竜渓谷かつやま」,1
2024-01-03,福井,道の駅「三方五湖」  エリア,福井県年縞博物館,1
2024-01-04,石川,ふれあい昆虫館,いしかわ動物園,1
2024-01-04,石川,兼六園,ふれあい昆虫館,1
2024-01-04,福井,えちぜん鉄道 永平寺口駅 エリア,福井県立恐竜博物館,1
2024-01-04,福井,スキージャム勝山 エリア,道の駅「恐竜渓谷かつやま」,1
2024-01-04,福井,丸岡城,丸岡城 エリア,1
2024-01-04,福井,丸岡城,道の駅「パークイン丹生ヶ丘」 エリア,1
2024-01-04,福井,丸岡城 エリア,あわら温泉街,1
2024-01-04,福井,人道の港 敦賀ムゼウム,金ヶ崎 エリア,2
2024-01-04,福井,北ノ庄 エリア,北の庄城址・柴田公園,1
2024-01-04,福井,大本山永平寺,えちぜん鉄道 永平寺口駅 エリア,1
2024-01-04,福井,敦賀赤レンガ倉庫,道の駅「三方五湖」  エリア,1
2024-01-04,福井,東尋坊,丸岡城 エリア,1
2024-01-04,福井,氣比神宮,JR敦賀駅前 エリア,1
2024-01-04,福井,氣比神宮,レインボーライン エリア,1
2024-01-04,福井,福井県立恐竜博物館,スキージャム勝山 エリア,1
2024-01-04,福井,福井県立恐竜博物館,丸岡城 エリア,1
2024-01-04,福井,福井県立恐竜博物館,福井駅前 エリア（宿泊施設）,1
2024-01-04,福井,自宅,道の駅「南えちぜん山海里」 エリア,1
2024-01-04,福井,越前がにミュージアム,あわら湯のまち エリア,1
2024-01-04,福井,越前大仏,道の駅「越前」 エリア,1
2024-01-04,福井,越前海岸,道の駅みくに ふれあいパーク三里浜 エリア,1
2024-01-04,福井,道の駅「パークイン丹生ヶ丘」 エリア,越前大仏,1
2024-01-04,福井,道の駅「三方五湖」  エリア,道の駅「三方五湖」,1
2024-01-04,福井,道の駅「恐竜渓谷かつやま」,北ノ庄 エリア,1
2024-01-04,福井,道の駅「越前」 エリア,越前大仏,1
2024-01-04,福井,金ヶ崎 エリア,氣比神宮,1
2024-01-04,福井,金津創作の森,越前そばの里 エリア,1
2024-01-05,福井,あわら湯のまち エリア,一乗谷朝倉氏遺跡,1
2024-01-05,福井,あわら湯のまち エリア,丸岡城,1
2024-01-05,福井,あわら湯のまち エリア,氣比神宮,1
2024-01-05,福井,あわら湯のまち エリア,芝政ワールド,1
2024-01-05,福井,スキージャム勝山,スキージャム勝山 エリア,1
2024-01-05,福井,一乗谷朝倉氏遺跡,あわら湯のまち エリア,1
2024-01-05,福井,一乗谷朝倉氏遺跡,一乗谷朝倉氏遺跡 エリア,1
2024-01-05,福井,一乗谷朝倉氏遺跡,丸岡城 エリア,1
2024-01-05,福井,一乗谷朝倉氏遺跡,劔神社 エリア,1
2024-01-05,福井,一乗谷朝倉氏遺跡,福井駅前 エリア,1
2024-01-05,福井,三方五湖,メガネストリート エリア,1
2024-01-05,福井,丸岡城,あわら湯のまち エリア,1
2024-01-05,福井,丸岡城,北陸新幹線 越前たけふ駅 エリア,1
2024-01-05,福井,北潟湖 エリア,福井県立恐竜博物館,1
2024-01-05,福井,北陸新幹線 越前たけふ駅 エリア,敦賀赤レンガ倉庫,1
2024-01-05,福井,大本山永平寺,福井駅前 エリア（宿泊施設）,1
2024-01-05,福井,福井駅前 エリア,あわら温泉「芦湯」,1
2024-01-05,福井,福井駅前 エリア（宿泊施設）,一乗谷朝倉氏遺跡,1
2024-01-05,福井,道の駅「うみんぴあ大飯」,レインボーライン エリア,1
2024-01-05,福井,道の駅「南えちぜん山海里」 エリア,福井県立恐竜博物館,1
2024-01-05,福井,道の駅「越前」,あわら湯のまち エリア,1
2024-01-06,石川,ひがし茶屋街,小松空港,1
2024-01-06,石川,小松市埋蔵文化財センター,加賀国府ものがたり館,1
2024-01-06,石川,小松空港,帰宅,1
2024-01-06,福井,JR敦賀駅前 エリア,氣比神宮,1
2024-01-06,福井,うみんぴあ大飯 エリア,丸岡城,1
2024-01-06,福井,かずら橋 エリア,まちの市場 こってコテいけだ,1
2024-01-06,福井,めがねミュージアム,今庄宿 エリア,1
2024-01-06,福井,ゆりの里公園ユリーム春江,あわら湯のまち エリア,1
2024-01-06,福井,メガネストリート エリア,今庄宿,2
2024-01-06,福井,一乗谷朝倉氏遺跡,福井駅前 エリア（宿泊施設）,1
2024-01-06,福井,一乗谷朝倉氏遺跡,越前海岸 北部 エリア,1
2024-01-06,福井,一乗谷朝倉氏遺跡 エリア,あわら温泉街,1
