TIF,回答場所,回答数,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,男,女,その他,無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,満足度（旅行全体）,推奨者,非推奨者,NPS,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",分からない/無回答,1: 300万円未満,5: 2000万円以上,3: 600?1000万円,2: 300?599万円,4: 1000?2000万円,6: 無回答,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援
福井,JR九頭竜湖駅 エリア,138,0,1,8,17,21,54,32,5,0,0,56,77,1,4,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,3,71,0,0,15,3,26,1,0,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,28,10,4,5,9,12,45,18,27,6,17,11,2,1,20,2,0,2,34,4,0,6,2,0,0,14,0,0,0,0,2,0,36,0,0,0,9,0,24,0,15,1,26,7,28,3,6,3.884057971,34,49,-10.86956522,18,5,4,15,10,16,11,10,6,7,6,2,4,24,0,0,0,0,0,0,15,6,10,69,1,0,9,1,8,0,0,0
福井,福井駅前 エリア（宿泊施設）,60,0,0,2,14,10,22,12,0,0,0,31,26,0,3,2,0,0,2,0,0,0,0,0,3,2,1,10,3,0,4,2,1,1,0,1,2,8,1,0,2,5,4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,26,15,12,7,5,2,25,1,16,14,4,2,3,1,12,1,0,1,2,4,20,6,0,0,0,7,0,0,0,0,1,0,45,0,0,8,0,0,4,0,7,1,10,1,1,1,2,4.3,27,10,28.33333333,2,1,6,6,6,2,7,9,4,2,8,2,2,3,0,0,0,0,0,0,24,5,2,11,3,0,4,4,2,0,0,0
福井,越前大野城・城下町 エリア,347,1,3,13,39,60,121,94,14,0,0,145,191,2,9,0,0,1,0,0,0,0,0,0,2,5,4,15,12,0,7,21,149,1,1,24,4,40,5,6,7,20,6,3,2,0,0,5,0,0,2,0,4,0,0,0,0,0,1,0,0,0,214,60,30,24,19,31,47,139,45,125,32,44,17,1,8,67,3,0,0,41,14,4,14,4,0,0,40,0,9,0,0,2,0,137,0,0,3,23,0,73,0,49,2,85,18,56,10,9,4.236311239,125,79,13.25648415,32,12,25,34,42,45,24,25,16,14,14,9,5,50,0,0,0,0,0,0,52,13,21,151,2,0,19,1,41,0,0,0
福井,道の駅「南えちぜん山海里」 エリア,174,0,2,10,29,37,60,27,8,0,0,70,95,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,13,55,0,0,4,4,20,5,10,5,31,6,4,4,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,69,59,28,10,8,12,24,53,6,12,25,35,9,1,2,18,4,0,0,20,9,4,16,1,0,0,15,0,2,0,0,1,0,55,0,0,6,4,0,15,0,17,0,37,10,17,3,26,4.41954023,80,27,30.45977011,11,5,9,17,20,18,22,15,13,3,9,4,2,26,0,0,0,0,0,0,17,10,12,69,1,0,12,3,20,0,0,0
福井,レインボーライン エリア,60,0,0,1,9,11,22,15,2,0,0,22,37,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,2,8,0,0,1,2,10,3,2,3,6,6,1,1,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,14,23,15,5,3,9,10,27,9,24,7,4,1,0,3,9,0,0,0,10,1,3,2,0,0,0,7,0,0,0,0,1,0,28,0,0,2,2,0,12,0,9,1,15,0,4,3,0,4.45,29,10,31.66666667,5,1,4,6,10,6,7,4,1,2,3,5,1,5,0,0,0,0,0,0,2,3,3,28,3,0,3,1,7,0,0,0
福井,道の駅「恐竜渓谷かつやま」 エリア,294,2,2,16,42,64,92,65,10,0,0,111,172,0,11,0,0,0,1,0,0,0,0,0,0,5,3,7,3,0,4,9,142,0,1,16,7,27,3,17,5,22,6,6,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,3,0,175,69,22,10,18,18,25,74,25,36,58,44,12,3,8,42,1,0,0,54,11,6,14,1,0,0,33,0,4,0,0,3,0,116,0,0,2,14,0,35,0,32,1,48,15,40,10,8,4.193877551,103,86,5.782312925,24,5,33,23,25,40,24,29,21,11,13,7,4,35,0,0,0,0,0,0,46,11,17,116,0,0,24,1,38,0,0,0
福井,あわら湯のまち エリア,307,1,0,33,53,48,84,64,22,0,0,118,180,2,7,4,1,0,0,0,1,3,3,0,1,6,4,28,12,1,10,17,62,1,3,16,4,24,7,8,11,39,17,3,1,1,4,2,2,0,1,3,0,0,4,0,0,1,2,0,0,0,44,193,46,15,9,138,163,157,5,54,47,8,5,1,2,21,3,0,3,14,5,15,17,7,0,0,74,0,10,0,0,11,0,153,0,0,27,6,0,30,0,35,4,36,9,24,9,11,4.384364821,154,45,35.50488599,21,9,22,27,23,37,30,15,14,20,17,12,15,45,0,0,0,0,0,0,19,24,12,97,16,0,33,9,28,0,0,0
福井,湖上館パムコ（水月湖）エリア,40,0,0,3,2,4,19,11,1,0,0,19,17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,1,0,1,1,7,0,1,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,1,1,2,5,3,29,4,9,1,4,0,0,1,1,0,0,0,7,0,1,1,0,0,0,9,0,3,0,0,1,0,19,0,0,0,5,0,2,0,11,0,5,0,3,3,0,4.075,19,5,35,8,1,1,4,5,4,2,2,0,1,3,1,1,7,0,0,0,0,0,0,2,1,9,21,0,0,1,2,0,0,0,0
福井,明通寺 エリア,28,0,0,0,6,6,7,8,1,0,0,17,11,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,1,5,0,0,3,1,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,3,0,1,0,1,2,14,2,2,2,1,0,8,1,0,1,1,0,3,4,0,0,0,1,0,1,0,0,0,0,10,0,0,1,2,0,2,0,3,0,7,4,4,0,0,4.535714286,11,5,21.42857143,3,2,1,2,6,3,2,3,0,0,3,1,1,1,0,0,0,0,0,0,9,1,1,12,1,0,3,0,0,0,0,0
福井,福井駅前 エリア,249,0,0,33,54,40,78,42,2,0,0,119,115,2,13,1,0,0,3,0,0,1,0,4,3,19,15,21,14,0,4,5,44,0,2,5,6,22,1,3,3,42,10,2,3,1,0,3,1,1,2,0,3,0,3,0,0,0,0,1,1,0,68,64,57,23,37,20,26,75,8,51,39,26,19,5,4,41,2,0,2,13,19,31,18,5,0,0,39,0,10,0,0,4,0,113,0,0,16,12,0,31,0,34,1,47,27,32,10,8,4.34939759,121,39,32.93172691,24,6,17,22,24,24,32,16,18,6,18,4,7,31,0,0,0,0,0,0,94,12,25,48,0,0,13,9,18,0,0,0
