日付,TIF,移動元,移動先,回答数
2023-04-28,福井,うみんぴあ大飯 エリア,一乗谷朝倉氏遺跡,1
2023-04-28,福井,一乗谷朝倉氏遺跡,大本山 永平寺 エリア,1
2023-04-28,福井,一乗谷朝倉氏遺跡 エリア,越前大野城,1
2023-04-28,福井,丸岡城,うみんぴあ大飯 エリア,1
2023-04-28,福井,丸岡城,一乗谷朝倉氏遺跡 エリア,1
2023-04-28,福井,丸岡城,北潟湖 エリア,1
2023-04-28,福井,北潟湖 エリア,一乗谷朝倉氏遺跡,1
2023-04-28,福井,大本山 永平寺 エリア,丸岡城,1
2023-04-28,福井,大本山永平寺,一乗谷朝倉氏遺跡 エリア,1
2023-04-28,福井,福井駅前 エリア（宿泊施設）,福井駅,1
2023-04-28,福井,越前海岸 北部 エリア,丸岡城,1
2023-04-28,福井,越前陶芸村,越前海岸 越前岬 エリア,1
2023-04-28,福井,道の駅「三方五湖」  エリア,大本山永平寺,1
2023-04-29,福井,JR敦賀駅前 エリア,敦賀赤レンガ倉庫,1
2023-04-29,福井,JR芦原温泉駅 エリア,吉崎御坊跡,1
2023-04-29,福井,JR芦原温泉駅 エリア,金沢駅周辺（石川県）,1
2023-04-29,福井,あわら湯のまち エリア,山中温泉（石川県）,1
2023-04-29,福井,あわら湯のまち エリア,東尋坊,1
2023-04-29,福井,あわら湯のまち エリア,酒蔵,1
2023-04-29,福井,あわら湯のまち エリア,金津創作の森,1
2023-04-29,福井,はたや記念館 ゆめおーれ勝山 エリア,道の駅「越前おおの荒島の郷」,1
2023-04-29,福井,びわ湖（滋賀県）,熊川宿 エリア,1
2023-04-29,福井,ふくい鮮いちば エリア,越前大野城,1
2023-04-29,福井,まちの市場 こってコテいけだ エリア,ツリーピクニックアドベンチャーいけだ,1
2023-04-29,福井,ゆりの里公園ユリーム春江,道の駅みくに ふれあいパーク三里浜 エリア,1
2023-04-29,福井,レインボーライン,うみんぴあ大飯 エリア,1
2023-04-29,福井,レインボーライン,大本山 永平寺 エリア,1
2023-04-29,福井,レインボーライン,道の駅「南えちぜん山海里」 エリア,1
2023-04-29,福井,レインボーライン エリア,大本山永平寺,1
2023-04-29,福井,レインボーライン エリア,道の駅「うみんぴあ大飯」,1
2023-04-29,福井,一乗谷朝倉氏遺跡,一乗谷朝倉氏遺跡 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡,北潟湖 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡,北陸新幹線 越前たけふ駅 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡,越前そばの里 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡,越前大野城・城下町 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡,道の駅「恐竜渓谷かつやま」 エリア,1
2023-04-29,福井,一乗谷朝倉氏遺跡 エリア,一乗谷朝倉氏遺跡,1
2023-04-29,福井,一乗谷朝倉氏遺跡 エリア,越前大野城,1
2023-04-29,福井,丸岡城,あわら湯のまち エリア,1
2023-04-29,福井,丸岡城,劔神社 エリア,1
2023-04-29,福井,丸岡城,越前大野城・城下町 エリア,1
2023-04-29,福井,丸岡城 エリア,越前大仏,1
2023-04-29,福井,人道の港 敦賀ムゼウム,金ヶ崎 エリア,1
2023-04-29,福井,劔神社 エリア,越前大野城,1
2023-04-29,福井,北の庄城址・柴田公園,大本山 永平寺 エリア,1
2023-04-29,福井,北潟湖 エリア,岡太神社・大瀧神社,1
2023-04-29,福井,北陸新幹線 越前たけふ駅 エリア,「ちひろの生まれた家」記念館,1
